id,block,block_header,temple_name,deities,location,nearby_town,district,dynasty,condition,functional_status,accessibility,page_content
23,16,Thandalam Sivan Temple,Thandalam Sivan Temple,"Sri Maheshwaran, Ambal Srimaheshwari, Ganesha, Murugan, Jeshta Devi","Thandalam village, 3 km on Tiruporur-Mamallapuram Road","Tiruporur, Tambaram, Chennai",,,Intact,Functional,"Remote village, city buses available from Tambaram, Tiruporur, and Chennai","The old temple was completely destroyed and only Swami was standing by the pond.The villagers of Thandalam have gathered and built a small temple to worship.There are Ganesha and Murugan idols on both sides of the sanctum sanctorum door.An old Jeshta Devi idol is found under a heat tree nearby.Swami's name is Sri Maheshwaran Ambal Srimaheshwari.Contact Mr. Radhakrishnan - 8754401805, Amsaveni-9790815110.Thiru Eyumalai- 9566267461. 3 KM on Tiruporur- Mamallapuram Road.This village is far away.City buses ply from Tambaram, Tirupporur, and Chennai. Jeshta Devi"
24,17,Aalathur Sivan Temple,Aalathur Sivan Temple,"Sri Agastheeswarar, Ambal Sri Akilandeshwari, Dwara Ganapathi, Valli Devasena, Sametha Murugan, Sandikeswarar, Bhairava","Alatur village, on the road from Thiruporur to Mamallapuram, about 3 km from Thiruporur","Thiruporur, Mamallapuram",,,Dilapidated,Functional,Well-connected by road from Thiruporur to Mamallapuram,"On the road from Thiruporur to Mamallapuram, it is about 3 km.If you travel you can find this temple in Alatur village.A very old temple.Flag tree, Rajagopuram, Goshta murthas were once there and now there is nothing.Eason consecrated and worshiped by Mamakarishi Agasthya.So he got the name Sri Agastheeswarar.Ambal Sri Akilandeshwari.Presently Dwara Ganapathi, Valli Devasena, Sametha Murugan, Sandikeswarar, and Bhairava.Opposite is the temple pond.There is a puja for a while.Contact Mr. Kathir Iyer-9444799023, Mr. Dayalan- 8124004808, Mr. Harendran-8680895761."
25,18,Payyanur Temples,Sri Ezhilarkuzali Ambal Sametha Sri Eteeswarar Temple,"Sri Eteeswarar (Shiva), Sri Ezhilarkuzali Ambal (Parvati), Pancha Goshta deities, Sri Agasthiyar, Sri Vallalar, Sri Bhairava, Sri Surya, 2000-year-old Shiva lingam","Baiyanur village, south bank of Thirukkulam, Payyanur",Mamallapuram (6 km),Chengalpattu,Pallava (built by Vijayanandi Vikrama Pallavan in AD 773),Intact,Functional,Well-connected on Chennai-Mamallapuram road,"Sri Ezhilarkuzali Ambal Sametha Sri Eteeswarar Temple, built by Vijayanandi Vikrama Pallavan in AD.Built in the year 773, it was completely destroyed in the floods and there were no pujas for many years, but it was rebuilt in 2011 and Kumbabhishekam was held.Presently two pujas are held.Annotated Nayanar from Thondai country has sung songs in praise of the Lord here.There are some indications that the Siddhas of Adhikatta worshiped Isaan here. In this temple with flagpole and Nandi Mandapam, if you enter the Dwara Balars and enter, Sri Eteeswarar gives darshan to the east.Ambal shrine facing south.Along with the Pancha Goshta shrines there are shrines of Sri Agasthiyar, Sri Vallalar, Sri Bhairava and Sri Surya.A 2000-year-old Shiva lingam found while paving the pond is in a separate shrine. This temple is the best remedy for unsolved cases, marriage ban, child luck.Contact Mr. Murthy- 99415 34893, Mr. Sundararaj-9566184387. On the Chennai-Mamallapuram Omar road lies the village of Baiyanur.From here Mamallapuram is 6 km. Bhayanur Eteeswarar Temple is located on the south bank of Thirukkulam and Karunakara Perumal Temple is on the north bank.Both the temples were built at the same time. Completely stone temple.Sri Karunakara Perumal will present Sri Karunakara Perumal in the golam where Sridevi Bhudevi stood as Samedar, bearing the Prayoga Chakra, if you enter the temple where the flagpole stands with two prakaras.It is said that this Lord was lying in the pond for a long time, and Zameen came to him in a dream and ordered him to be worshiped in the temple. Temple Timings 6 AM-12 PM, 4 PM-7.30 PM.Contact Mr. Kannayadasan-9092270404,"
26,18,Payyanur Temples,Karunakara Perumal Temple,"Sri Karunakara Perumal (Vishnu) with Sridevi and Bhudevi, bearing Prayoga Chakra","Baiyanur village, north bank of Thirukkulam, Payyanur",Mamallapuram (6 km),Chengalpattu,"Pallava (built at same time as Eteeswarar temple, AD 773)",Intact,Functional,Well-connected on Chennai-Mamallapuram road,"Sri Ezhilarkuzali Ambal Sametha Sri Eteeswarar Temple, built by Vijayanandi Vikrama Pallavan in AD.Built in the year 773, it was completely destroyed in the floods and there were no pujas for many years, but it was rebuilt in 2011 and Kumbabhishekam was held.Presently two pujas are held.Annotated Nayanar from Thondai country has sung songs in praise of the Lord here.There are some indications that the Siddhas of Adhikatta worshiped Isaan here. In this temple with flagpole and Nandi Mandapam, if you enter the Dwara Balars and enter, Sri Eteeswarar gives darshan to the east.Ambal shrine facing south.Along with the Pancha Goshta shrines there are shrines of Sri Agasthiyar, Sri Vallalar, Sri Bhairava and Sri Surya.A 2000-year-old Shiva lingam found while paving the pond is in a separate shrine. This temple is the best remedy for unsolved cases, marriage ban, child luck.Contact Mr. Murthy- 99415 34893, Mr. Sundararaj-9566184387. On the Chennai-Mamallapuram Omar road lies the village of Baiyanur.From here Mamallapuram is 6 km. Bhayanur Eteeswarar Temple is located on the south bank of Thirukkulam and Karunakara Perumal Temple is on the north bank.Both the temples were built at the same time. Completely stone temple.Sri Karunakara Perumal will present Sri Karunakara Perumal in the golam where Sridevi Bhudevi stood as Samedar, bearing the Prayoga Chakra, if you enter the temple where the flagpole stands with two prakaras.It is said that this Lord was lying in the pond for a long time, and Zameen came to him in a dream and ordered him to be worshiped in the temple. Temple Timings 6 AM-12 PM, 4 PM-7.30 PM.Contact Mr. Kannayadasan-9092270404,"
27,19,Edarkundram Temples,Sri Thirumalai Ishwarar Temple,"Sri Thirumalai Ishwarar (Shiva), Ambal Sri Sornambikai (Parvati)",Edarkundram hilltop,"Kotamedu village, Tiruporur",Chengalpattu,,,Functional,2 km from Kotamedu village on Tiruporur-Sengalpattu road; contact persons available,"There are two ancient temples overlooking a small hilltop in a very peaceful setting.One is Shiva temple.The other is the Narasimha Perumal Temple.The Esan Thirunam here is Sri Thirumalai Ishwarar.Ambal Sri Sornambikai.Eason gives a majestic view towards the east, surrounded by Goshta idols.A beautiful pond is found at the foot of the hill.Daily puja takes place. Narasimha Temple is on another part of the hill near Shiva Temple.Sri Narasimha Perumal graces the rock as Swami Swayambu.You have to squint to see the very elegant sculptural form.A must visit temple.Pooja takes place here too. It is said by the villagers that when they came to break stones here during the British rule, the crane broke down several times and left here. Ederkunram, 2 km from Kotamedu village on Tiruporur-Sengalpattu road.is far away.Contact Mr. Lokhu- 9095043658, Mr. Parthasarathy-9159129791, Mr. Venkataraman- 7639579700."
28,19,Edarkundram Temples,Sri Narasimha Perumal Temple,"Sri Narasimha Perumal (Vishnu as Narasimha, Swayambu)",Edarkundram hilltop (near Shiva temple),"Kotamedu village, Tiruporur",Chengalpattu,,,Functional,2 km from Kotamedu village on Tiruporur-Sengalpattu road; contact persons available,"There are two ancient temples overlooking a small hilltop in a very peaceful setting.One is Shiva temple.The other is the Narasimha Perumal Temple.The Esan Thirunam here is Sri Thirumalai Ishwarar.Ambal Sri Sornambikai.Eason gives a majestic view towards the east, surrounded by Goshta idols.A beautiful pond is found at the foot of the hill.Daily puja takes place. Narasimha Temple is on another part of the hill near Shiva Temple.Sri Narasimha Perumal graces the rock as Swami Swayambu.You have to squint to see the very elegant sculptural form.A must visit temple.Pooja takes place here too. It is said by the villagers that when they came to break stones here during the British rule, the crane broke down several times and left here. Ederkunram, 2 km from Kotamedu village on Tiruporur-Sengalpattu road.is far away.Contact Mr. Lokhu- 9095043658, Mr. Parthasarathy-9159129791, Mr. Venkataraman- 7639579700."
29,20,Vengoor Temples,Vengoor Shiva Temple,Shiva (linga),Vengur (Vengoor),"Thiruporur, Sengalpattu, Kanchipuram",Kanchipuram,,Dilapidated,Functional,"Well-connected by bus (Thiruporur-Sengalpattu, Kanchipuram routes)","The villagers of Vengur have taken the Shiva linga from the clearing and built a small shed to worship it.Swami's name is not known.All the idols from the nearby Perumal temple have disappeared and new idols are being installed.The temple is currently under construction.Nearby is the temple Thirukulam.Contact Mr. Gopalakrishnan-9626576908, Mr. Mohan-93817 74283. You can reach here by buses going to Thiruporur-Sengalpattu, Kanchipuram."
30,20,Vengoor Temples,Vengoor Perumal Temple,Perumal (Vishnu),Vengur (Vengoor),"Thiruporur, Sengalpattu, Kanchipuram",Kanchipuram,,Dilapidated,Non-Functional,"Well-connected by bus (Thiruporur-Sengalpattu, Kanchipuram routes)","The villagers of Vengur have taken the Shiva linga from the clearing and built a small shed to worship it.Swami's name is not known.All the idols from the nearby Perumal temple have disappeared and new idols are being installed.The temple is currently under construction.Nearby is the temple Thirukulam.Contact Mr. Gopalakrishnan-9626576908, Mr. Mohan-93817 74283. You can reach here by buses going to Thiruporur-Sengalpattu, Kanchipuram."
31,20,Vengoor Temples,Thirukulam Temple,,Thirukulam,"Vengur, Thiruporur, Sengalpattu, Kanchipuram",Kanchipuram,,,,"Well-connected by bus (Thiruporur-Sengalpattu, Kanchipuram routes)","The villagers of Vengur have taken the Shiva linga from the clearing and built a small shed to worship it.Swami's name is not known.All the idols from the nearby Perumal temple have disappeared and new idols are being installed.The temple is currently under construction.Nearby is the temple Thirukulam.Contact Mr. Gopalakrishnan-9626576908, Mr. Mohan-93817 74283. You can reach here by buses going to Thiruporur-Sengalpattu, Kanchipuram."
32,21,Anumanthapuram Temples,Anjaneya Hill Temple,"Anjaneya, Lord Shiva","Anumanthapuram, on top of the hill",Singaperumalkoil,Kanchipuram,,Vettaiveli,Functional,"Remote - 3 km dirt road from Darkas village, no proper path to climb the hill","It is history that when Shri Anjaneya was penance to Lord Shiva to get Shivadiksha in the beginning, Isa also willingly gave diksha with Sri Veerabhatra.History says that Anjaneya too was happy and stayed here after doing Shiva Puja. Now there is a small temple on top of the hill.To reach here, take the Singaperumalkoil-Anumanthapuram road and take a small dirt road for 3 km that splits at a village called Darkas to reach the base of the hill.There is no right way to climb a mountain. Anumanthapuram Sri Veerabhatra Temple Shree Veerabhatrar Swamy Temple, a feature of Sivabira, is about 9 kms near Singaperumal Temple.Located far away.This very famous temple is about 3000 years old.After the Dakshan Samharam, Sri Veerapathiraswamy came here very angry and hungry. Mother Kali gave Swami sugarcane yams and mountain honey to satisfy his hunger.As soon as Ambal folded the betel leaf, the hunger subsided and the anger subsided. The source here is Sri Akoravirabhatra.Ambal Sri Kalikampal.Dakshinamurthy and Lingotpavar are the only ones in Koshta.Shree Durga shrine stands alone.There are shrines of Ganesha, Murugan, and Chandikeshwara in the prakaram. place of remedy A place to get relief from evil and witchcraft.Mars also acts as a dosha-reliever.After the evening puja, Shivacharya devotees put Swami Vibhuti on their heads and give prasad to them to remove all evils.Garlanding of betel leaves here is very special.Puja is held here twice.7.00 am to 12.00 pm on new moon and full moon days. For further details Mr. Sentikumar-94442 86077, Mr. Wigneswaran-9976567410, Mr. Duraisamy- 9443616894."
33,21,Anumanthapuram Temples,Anumanthapuram Sri Veerabhatra Temple,"Sri Veerabhatra, Sri Akoravirabhatra, Ambal Sri Kalikampal, Dakshinamurthy, Lingotpavar, Durga, Ganesha, Murugan, Chandikeshwara","Anumanthapuram, about 9 km from Singaperumal Temple",Singaperumalkoil,Kanchipuram,,Intact,Functional,Well-connected - 9 km from Singaperumalkoil,"It is history that when Shri Anjaneya was penance to Lord Shiva to get Shivadiksha in the beginning, Isa also willingly gave diksha with Sri Veerabhatra.History says that Anjaneya too was happy and stayed here after doing Shiva Puja. Now there is a small temple on top of the hill.To reach here, take the Singaperumalkoil-Anumanthapuram road and take a small dirt road for 3 km that splits at a village called Darkas to reach the base of the hill.There is no right way to climb a mountain. Anumanthapuram Sri Veerabhatra Temple Shree Veerabhatrar Swamy Temple, a feature of Sivabira, is about 9 kms near Singaperumal Temple.Located far away.This very famous temple is about 3000 years old.After the Dakshan Samharam, Sri Veerapathiraswamy came here very angry and hungry. Mother Kali gave Swami sugarcane yams and mountain honey to satisfy his hunger.As soon as Ambal folded the betel leaf, the hunger subsided and the anger subsided. The source here is Sri Akoravirabhatra.Ambal Sri Kalikampal.Dakshinamurthy and Lingotpavar are the only ones in Koshta.Shree Durga shrine stands alone.There are shrines of Ganesha, Murugan, and Chandikeshwara in the prakaram. place of remedy A place to get relief from evil and witchcraft.Mars also acts as a dosha-reliever.After the evening puja, Shivacharya devotees put Swami Vibhuti on their heads and give prasad to them to remove all evils.Garlanding of betel leaves here is very special.Puja is held here twice.7.00 am to 12.00 pm on new moon and full moon days. For further details Mr. Sentikumar-94442 86077, Mr. Wigneswaran-9976567410, Mr. Duraisamy- 9443616894."
34,22,Siruthamur Sivan Temple,Siruthamur Sivan Temple (Bhootagriswarar),"Emperuman Easwaran (Bhootagriswarar), Sri Anandhavalli Devi, Lord Nandi (head turned left), Vinayagar, Valli Devasena Sametha Murugan, Sandikeswarar, Ambal, Patti Lingam, Elephant vehicle to Murugan",Sirutamur village,"Tirupporur (6 km), Chengalpattu, Koyambedu",Chengalpattu,,Dilapidated,Functional,"Well-connected by buses from Tirupporur, Chengalpattu, and Koyambedu","Emperuman Easwaran has a temple in Sirutamur village along with mother Sri Anandhavalli Devi with the name of Bhootagriswarar.Iswaran is presented in white color on a square shaped pedestal.Villagers are building a bigger temple while the old temple is dilapidated.The palalayam is done and the temple is nearing completion.Lord Nandi here has his head turned to the left which is not seen anywhere else.Vinayagar, Valli Devasena Sametha Murugan, Sandikeswarar, Ambal, Patti Lingam and Nandi are ancient deities.Elephant vehicle to Murugan here.Pooja is held regularly.Contact Mr. Jayachandran-9840518826, Mr. Nagarajan- 9382292689, Mr. Vijayan-9444880118. This place is 6 km from Tirupporur.Buses come here from Tiruporur, Chengalpattu, Koyambedu."
35,23,Kattoor Sivan Temple,Kattoor Sivan Temple,"Sri Vaidyanath (Swayambu), Ambal Sri Taiyalanaiki, Goshta Murthys, Nalvar, Vinayak Sekijar, Kashi Vishwanath Visalakshi Murugan, Gaja Lakshmi, Ankarakan, Navagragam, Bhairava, Uthra Vaideeswara Swamy","Kattoor, on Tiruporur Mambakkam road",Tiruporur (6 km),,,,Functional,Well-connected,"Author Sri Vaidyanath (Swayambu) Ambal Sri Taiyalanaiki Other shrines are Goshta Murthys,Nalvar,Vinayak Sekijar,Kashi Vishwanath Visalakshi Murugan,Gaja Lakshmi,Ankarakan,Navagragam. This place is known as Vadavaitheeswaram.History says that Sage Sri Agastya worshiped Isaan and removed the bonds of people.The Sivaganga Theertha here was made by Agathiya.Panguni was happy to see Shivashakti Thirukalyanam here on Uttaram.There is a separate shrine for Ankarakan here. In the nearby village of Vembedu, it is customary to visit Bhairava on the top of the hill and then visit Uthra Vaideeswara Swamy. Mars is the place to get rid of dosha and cure all kinds of ailments. Temple Timings 6 am - 11 pm 4.30 pm - 8.00 pm Contact Mr. Punniakodi-9884364272, Mr. Arivarasan- 7550352490, Mr. Natarasan-9445366044.This temple is on Tiruporur Mambakkam road.Tiruporur is 6 km from here."
